topic_id;topic_text;topic_url;query_id;query_text
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.1;Snowden
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.2;cookies
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.3;GDPR
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.4;ePrivacy
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.C1;Data Privacy and Protection Laws - The evolution of data protection laws, including GDPR, and their impact on technology and business practices
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.C2;Impact of Legislation on Data-Driven Innovation - Examining how data protection legislation affects data-driven business models and technological innovation
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.C3;Cross-Border Data Transfer and Legal Implications - The challenges and solutions for cross-border data transfers under differing legal frameworks
G15;What is GDPR and why does the UK want to reshape its data laws?;https://www.theguardian.com/technology/2021/aug/26/what-gdpr-why-does-uk-want-reshape-data-laws;G15.C4;Ethical and Social Implications of Data Legislation - The broader ethical and societal considerations of data privacy legislation, including user rights and corporate responsibilities
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.1;algorithm
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.2;NLP applications
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.3;accountability
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.4;OpenNLP
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.C1;Algorithms and Ethics - Discussing the moral implications and the human-like nature of algorithms
G16;Algorithms are more like puppies than monsters they want to please you;https://www.theguardian.com/media-network/2016/jun/06/algorithms-more-puppies-than-monsters-please-you-natural-language-processing;G16.C2;how algorithms are designed with human interaction in mind
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.1;quantum computing
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.2;qbit
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.3;Jay Gambetta
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.4;quantum applications
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.C1;Government and Policy Interest in Quantum Computing - The reasons behind political interest in quantum computing, including its potential for economic and national security benefits
G17;The next giant leap: why Boris Johnson wants to ‘go big’ on quantum computing;https://www.theguardian.com/technology/2021/nov/21/next-giant-leap-boris-johnson-go-big-on-quantum-computing;G17.C2;Challenges and Limitations of Quantum Computing - Technical and practical challenges that need to be overcome for quantum computing to become more widely adopted
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.1;Peer recomendations
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.2;Crowsourcing
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.3;tech job search
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.4;=+women +computer -games
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.C1;Diversity and Inclusion in Tech - The challenges and current state of diversity within the tech industry, particularly concerning gender representation
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.C2;Crowdsourced Recruitment Tools - The development and application of innovative recruitment tools that leverage crowdsourcing to address diversity and inclusion
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.C3;Case Studies or Examples of Successful Diversity Initiatives - Examples of companies or initiatives that have successfully improved diversity within tech through innovative approaches
G18;New crowdsourced recruitment tool aims to get more women into tech;https://www.theguardian.com/careers/2018/nov/12/new-crowdsourced-recruitment-tool-aims-to-get-more-women-into-tech;G18.C4;Impact of Diversity on Tech Industry - Analysis of how increased diversity affects team performance, innovation, and the broader tech industry
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.1;International Space Station Linux
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.2;Kasperky Linux
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.3;malicious password swiping malware
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.C1;Malware and Virus Epidemics in Unconventional Settings - Analysis of malware incidents in environments outside of traditional computing contexts
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.C2;Cybersecurity Measures for Space Missions - Strategies and technologies for protecting space-bound computer systems from cyber threats
G19;International Space Station attacked by ‘virus epidemics’;Https://www.theguardian.com/technology/2013/nov/12/international-space-station-virus-epidemics-malware;G19.C3;Impact of Cybersecurity Incidents on Space Missions - Examination of the potential consequences of malware infections for the operation and safety of space missions
G20;Open data is a force for good but not without risks;https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks;G20.1;open data risk
G20;Open data is a force for good but not without risks;https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks;G20.2;open data impact of policies
G20;Open data is a force for good but not without risks;https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks;G20.C1;Open Data Initiatives - The principles, goals, and implementation strategies of open data initiatives by governments and other entities
G20;Open data is a force for good but not without risks;https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks;G20.C2;Data Privacy and Security Risks - The challenges and concerns associated with ensuring data privacy and security in the context of open data
G20;Open data is a force for good but not without risks;https://www.theguardian.com/society/2012/jul/10/open-data-force-for-good-risks;G20.C3;Data Reuse and Applications - The potential for innovation and development through the reuse of open data in various applications, including public services, research, and technology development
T01;Curve Light: A highly performing indoor positioning system;https://techxplore.com/news/2021-12-highly-indoor-positioning.html;T01.1;indoor positioning system
T01;Curve Light: A highly performing indoor positioning system;https://techxplore.com/news/2021-12-highly-indoor-positioning.html;T01.2;light positioning
T01;Curve Light: A highly performing indoor positioning system;https://techxplore.com/news/2021-12-highly-indoor-positioning.html;T01.3;LED lamp
T02;Studying RISC-V architecture to create customized systems for space computing;https://techxplore.com/news/2021-09-risc-v-architecture-customized-space.html;T02.1;spacecraft
T02;Studying RISC-V architecture to create customized systems for space computing;https://techxplore.com/news/2021-09-risc-v-architecture-customized-space.html;T02.2;RISC-V
T02;Studying RISC-V architecture to create customized systems for space computing;https://techxplore.com/news/2021-09-risc-v-architecture-customized-space.html;T02.3;architecture modularity
T03;RoboTurk: A crowdsourcing platform for imitation learning in robotics;https://techxplore.com/news/2018-11-roboturk-crowdsourcing-platform-imitation-robotics.html;T03.1;imitation learning
T03;RoboTurk: A crowdsourcing platform for imitation learning in robotics;https://techxplore.com/news/2018-11-roboturk-crowdsourcing-platform-imitation-robotics.html;T03.2;crowdsourcing
T03;RoboTurk: A crowdsourcing platform for imitation learning in robotics;https://techxplore.com/news/2018-11-roboturk-crowdsourcing-platform-imitation-robotics.html;T03.3;robot learning
T04;Artificial intelligence—parking a car with only 12 neurons;https://techxplore.com/news/2018-10-artificial-intelligenceparking-car-neurons.html;T04.1;intelligent parking
T04;Artificial intelligence—parking a car with only 12 neurons;https://techxplore.com/news/2018-10-artificial-intelligenceparking-car-neurons.html;T04.2;RNN
T04;Artificial intelligence—parking a car with only 12 neurons;https://techxplore.com/news/2018-10-artificial-intelligenceparking-car-neurons.html;T04.3;nematode
T04;Artificial intelligence—parking a car with only 12 neurons;https://techxplore.com/news/2018-10-artificial-intelligenceparking-car-neurons.html;T04.4;small neural network
T05;New ‘emotional’ robots aim to read human feelings;https://techxplore.com/news/2018-01-emotional-robots-aim-human.html;T05.1;emotional robot
T05;New ‘emotional’ robots aim to read human feelings;https://techxplore.com/news/2018-01-emotional-robots-aim-human.html;T05.2;emotion detection
T05;New ‘emotional’ robots aim to read human feelings;https://techxplore.com/news/2018-01-emotional-robots-aim-human.html;T05.3;emotion synthesis
T05;New ‘emotional’ robots aim to read human feelings;https://techxplore.com/news/2018-01-emotional-robots-aim-human.html;T05.4;empathy
T06;AI system-on-chip runs on solar power;https://techxplore.com/news/2021-06-ai-system-on-chip-solar-power.html;T06.1;system-on-chip
T06;AI system-on-chip runs on solar power;https://techxplore.com/news/2021-06-ai-system-on-chip-solar-power.html;T06.2;energy efficiency
T06;AI system-on-chip runs on solar power;https://techxplore.com/news/2021-06-ai-system-on-chip-solar-power.html;T06.3;neural network accelerator
T07;Transfer learning offers new insight into machine-learning error estimation;https://techxplore.com/news/2022-03-insight-machine-learning-error.html;T07.1;transfer learning
T07;Transfer learning offers new insight into machine-learning error estimation;https://techxplore.com/news/2022-03-insight-machine-learning-error.html;T07.2;Bayesian approach
T07;Transfer learning offers new insight into machine-learning error estimation;https://techxplore.com/news/2022-03-insight-machine-learning-error.html;T07.3;classification
T07;Transfer learning offers new insight into machine-learning error estimation;https://techxplore.com/news/2022-03-insight-machine-learning-error.html;T07.4;error estimator
T08;What is 3G and why is it being shut down? An electrical engineer explains;https://techxplore.com/news/2022-02-3g-electrical.html;T08.1;3G
T08;What is 3G and why is it being shut down? An electrical engineer explains;https://techxplore.com/news/2022-02-3g-electrical.html;T08.2;CDMA
T08;What is 3G and why is it being shut down? An electrical engineer explains;https://techxplore.com/news/2022-02-3g-electrical.html;T08.3;OFDMA
T09;Using AI to fill in the missing gaps in ancient texts;https://techxplore.com/news/2022-03-ai-gaps-ancient-texts.html;T09.1;ancient text
T09;Using AI to fill in the missing gaps in ancient texts;https://techxplore.com/news/2022-03-ai-gaps-ancient-texts.html;T09.2;text reconstruction
T09;Using AI to fill in the missing gaps in ancient texts;https://techxplore.com/news/2022-03-ai-gaps-ancient-texts.html;T09.3;text classification
T10;Retina-inspired sensors for more adaptive visual perception;https://techxplore.com/news/2022-03-retina-inspired-sensors-visual-perception.html;T10.1;optoelectronic
T10;Retina-inspired sensors for more adaptive visual perception;https://techxplore.com/news/2022-03-retina-inspired-sensors-visual-perception.html;T10.2;visual adaptation
T10;Retina-inspired sensors for more adaptive visual perception;https://techxplore.com/news/2022-03-retina-inspired-sensors-visual-perception.html;T10.3;phototransistor
T10;Retina-inspired sensors for more adaptive visual perception;https://techxplore.com/news/2022-03-retina-inspired-sensors-visual-perception.html;T10.4;vision sensor
T11;Data scientist builds a detailed network map of 'The Witcher';https://techxplore.com/news/2022-02-scientist-network-witcher.html;T11.1;character relationship
T11;Data scientist builds a detailed network map of 'The Witcher';https://techxplore.com/news/2022-02-scientist-network-witcher.html;T11.2;storyline visualization
T11;Data scientist builds a detailed network map of 'The Witcher';https://techxplore.com/news/2022-02-scientist-network-witcher.html;T11.3;social map
T12;Deep-learning diagnoses: AI detects COVID-19 from smartwatch sensors;https://techxplore.com/news/2022-03-deep-learning-ai-covid-smartwatch-sensors.html;T12.1;deep learning
T12;Deep-learning diagnoses: AI detects COVID-19 from smartwatch sensors;https://techxplore.com/news/2022-03-deep-learning-ai-covid-smartwatch-sensors.html;T12.2;smartwatch
